"W1","W2","A","Y"
3,1,2,36.5746451577513
3,1,3,37.7918162193192
1,1,3,34.7743242860343
3,1,1,34.5015809807914
3,0,4,39.8399915154061
2,1,5,37.8329757920913
2,1,3,36.2932757871477
2,1,5,37.8202215675019
1,1,4,35.6746329246523
2,0,5,39.3255025527033
2,1,3,36.2815352727856
2,0,3,37.2105881159735
2,1,4,37.1531679820236
1,0,3,35.7126943593103
2,0,4,38.3680070173505
2,1,6,38.358333606416
2,0,5,39.3318825971562
2,1,4,37.1564474078571
3,0,4,39.8780933899418
1,0,6,38.6702571915697
1,1,5,36.3270078523162
1,1,5,36.3161056136207
2,0,4,38.3711502409738
3,0,3,38.6886941978183
3,0,3,38.6958018709976
2,0,4,38.3381950475085
3,0,4,39.8619887813579
3,0,3,38.699040732619
3,1,4,38.6812599972811
1,1,4,35.6649635322002
2,0,4,38.3648879718835
3,0,3,38.6947735850395
1,0,5,37.8437998767657
1,0,5,37.8113493386417
3,1,4,38.6662015739671
1,0,3,35.6905383942005
3,0,4,39.8602821661216
1,1,5,36.3227539747067
1,0,4,36.837599140047
2,0,5,39.3176825598355
2,0,2,35.6734738867826
2,1,4,37.1313240085351
1,0,3,35.6981019485656
2,1,2,35.0713892170751
2,0,5,39.3191295697671
1,0,5,37.8245324527817
3,0,4,39.8438042334941
2,0,4,38.3735710051289
2,0,4,38.3589606389316
2,0,3,37.2034414928528
1,0,3,35.687694784918
3,0,4,39.8698507581347
3,0,3,38.702917518998
2,0,5,39.3025549127605
2,1,4,37.1573120306796
1,1,4,35.6569195570312
2,0,4,38.3499205802584
1,0,5,37.8297883329321
2,0,6,40.1745979271568
3,0,4,39.8664246219008
3,0,3,38.6937236231176
3,1,2,36.5897464547117
2,0,3,37.2049711347723
2,0,6,40.1874330790487
3,0,5,40.8202705663281
3,1,4,38.6550488156849
2,1,3,36.3003513256659
1,1,4,35.6626660058476
3,1,3,37.7902381132091
2,1,3,36.2798051283967
2,0,4,38.3805591636844
1,1,3,34.793141119241
1,0,7,39.4295753817195
2,0,6,40.16138798941
3,1,3,37.792759354341
3,0,4,39.8484663184607
1,0,7,39.4310865211469
1,0,6,38.6818682346981
2,0,4,38.3577443210515
2,0,7,40.9530478118958
2,0,4,38.3555867724838
1,1,5,36.3221999763334
2,0,4,38.3486346160816
2,1,5,37.8208418341006
2,0,6,40.1657040116667
3,0,4,39.8670044673838
3,0,4,39.8632445689074
1,1,5,36.3491282917476
3,0,3,38.720455100191
1,1,4,35.6658433518271
3,1,1,34.5002177980641
3,1,3,37.79819703166
3,0,4,39.8545002886549
3,0,5,40.843778204696
1,1,4,35.6580642781925
3,0,3,38.702474492075
3,0,6,41.6881665866385
2,1,3,36.2862901963994
2,0,6,40.1778352002657
2,1,3,36.2935473141314
3,1,4,38.6505433695584
2,1,4,37.1598902440799
3,0,4,39.8600640864717
2,0,4,38.3537792257058
2,0,4,38.3469356304085
2,1,3,36.2845855500337
1,0,4,36.8358661190871
1,1,4,35.6682517314496
2,0,2,35.683764367394
3,0,3,38.7093175464724
3,0,6,41.6796078420438
2,0,6,40.1646671197066
1,1,2,33.584917829982
2,0,4,38.3422444621939
1,0,6,38.655075786329
3,0,4,39.8462672559383
3,1,4,38.6570986406141
2,0,3,37.1775331293204
2,0,1,33.311408945395
2,0,6,40.1795848019663
2,0,3,37.1836377718774
1,0,6,38.6670475902303
2,1,5,37.8432552302953
2,0,3,37.1776123196899
2,0,5,39.3233620062357
1,1,3,34.7966380922573
1,1,6,36.8801880782807
1,0,3,35.7048242257262
3,0,4,39.840745570342
3,1,3,37.8117181972394
3,0,5,40.8174295461944
2,0,4,38.3510722245072
2,1,5,37.8281046265921
2,1,4,37.1538828960898
3,0,2,37.1816119825531
1,0,6,38.6477474694683
2,0,4,38.3411632791993
1,0,5,37.8290845925812
2,0,4,38.3639926284487
1,1,5,36.325264935586
2,0,5,39.3414829871658
1,0,4,36.8429424713851
3,0,2,37.1818699098758
1,0,5,37.8291973916887
1,0,3,35.7042463608049
2,0,4,38.3537700313685
3,0,3,38.6934643003091
1,1,3,34.785340471109
2,0,5,39.332319258077
1,0,5,37.8303208805898
2,0,6,40.1735854574821
2,1,4,37.1661012277855
3,0,3,38.7007202640528
3,0,2,37.1717396060713
2,0,2,35.6763588199834
2,0,4,38.3550870938076
3,0,4,39.8397479389991
2,0,7,40.9276655528604
3,1,2,36.5879220463113
1,1,6,36.8833313045122
1,0,4,36.8601691613612
1,0,4,36.8374174915382
3,0,5,40.8214866614768
1,1,4,35.6804956244643
1,0,5,37.8212715019458
3,0,5,40.8341421153069
2,0,3,37.2006502278123
2,1,2,35.0770888039621
3,0,3,38.6833856835759
2,1,3,36.3050646379288
3,1,2,36.5830079773233
1,0,7,39.4589473615361
1,1,2,33.5739655102812
3,0,3,38.6879403909846
1,0,6,38.6738879872631
3,1,3,37.8055368282022
1,0,5,37.8396148210965
1,1,5,36.326763663757
1,0,4,36.86068207765
3,0,4,39.8636797406594
2,1,2,35.0673066587164
1,1,2,33.5798782273145
3,1,2,36.5708211813804
2,0,3,37.1658982700706
2,0,5,39.314601757555
2,0,4,38.3640790216896
1,0,6,38.6771886743629
2,1,2,35.0834799948731
1,0,6,38.6667708683635
3,1,3,37.8127913576612
3,1,3,37.7805124014888
2,1,5,37.8236845300675
2,1,1,33.0119790572151
3,0,5,40.8328568656465
3,0,3,38.690842198588
1,0,5,37.8335544799498
2,0,4,38.3603581869496
1,0,4,36.8512593255291
1,1,5,36.329838789339
2,0,6,40.1758648879326
1,0,3,35.6799870261904
2,0,3,37.184946435658
1,0,5,37.8254172733682
2,1,3,36.2935011168011
1,1,4,35.6517368371985
3,0,4,39.8540828681936
3,0,4,39.8680093452404
2,0,6,40.1746810857874
3,1,6,39.8822663066711
2,1,3,36.2964276385136
3,0,4,39.8557678918854
2,0,5,39.3228225552576
2,0,3,37.1872634274517
3,1,4,38.6844131775409
1,1,4,35.6497972146428
